15
10
7 68 71 37 51 20 28 26 48 21 47 6 51 72 6
0 15 23 20 15 16 23 25 19 21 16 23 16 21 22 15 24
15 0 18 18 20 15 17 21 19 16 22 21 16 19 22 17 22
23 18 0 20 21 21 21 18 18 15 21 19 20 23 25 20 20
20 18 20 0 25 21 24 21 21 24 19 17 24 22 25 23 22
15 20 21 25 0 21 15 16 15 17 16 21 22 18 23 25 15
16 15 21 21 21 0 23 15 15 20 22 18 22 15 23 19 17
23 17 21 24 15 23 0 20 21 22 25 18 23 24 23 25 21
25 21 18 21 16 15 20 0 23 17 20 15 19 24 16 20 19
19 19 18 21 15 15 21 23 0 15 19 19 20 18 22 19 24
21 16 15 24 17 20 22 17 15 0 19 23 21 22 20 21 15
16 22 21 19 16 22 25 20 19 19 0 16 18 17 16 21 15
23 21 19 17 21 18 18 15 19 23 16 0 19 15 21 25 21
16 16 20 24 22 22 23 19 20 21 18 19 0 21 19 24 25
21 19 23 22 18 15 24 24 18 22 17 15 21 0 18 24 19
22 22 25 25 23 23 23 16 22 20 16 21 19 18 0 25 17
15 17 20 23 25 19 25 20 19 21 21 25 24 24 25 0 22
24 22 20 22 15 17 21 19 24 15 15 21 25 19 17 22 0
