17
10
22 6 64 71 49 59 3 25 5 48 37 30 14 50 7 59 39
0 24 20 21 25 17 20 17 15 24 25 23 18 21 23 22 16 23 15
24 0 23 21 18 25 18 15 21 21 17 24 19 22 25 17 20 18 19
20 23 0 19 20 19 16 16 23 15 24 15 16 17 20 20 25 23 25
21 21 19 0 18 24 22 20 15 18 21 23 22 18 15 21 24 18 25
25 18 20 18 0 18 16 15 22 17 15 25 23 16 19 15 24 15 21
17 25 19 24 18 0 24 19 20 18 24 24 18 15 22 18 17 20 16
20 18 16 22 16 24 0 25 21 15 25 24 19 25 18 19 24 21 24
17 15 16 20 15 19 25 0 23 15 20 22 16 17 20 25 23 17 20
15 21 23 15 22 20 21 23 0 16 25 20 15 20 23 25 17 18 19
24 21 15 18 17 18 15 15 16 0 18 16 25 24 24 15 19 15 17
25 17 24 21 15 24 25 20 25 18 0 23 20 16 17 17 18 19 25
23 24 15 23 25 24 24 22 20 16 23 0 25 20 22 25 22 21 22
18 19 16 22 23 18 19 16 15 25 20 25 0 18 18 16 25 23 20
21 22 17 18 16 15 25 17 20 24 16 20 18 0 18 23 17 17 21
23 25 20 15 19 22 18 20 23 24 17 22 18 18 0 16 16 23 25
22 17 20 21 15 18 19 25 25 15 17 25 16 23 16 0 25 19 25
16 20 25 24 24 17 24 23 17 19 18 22 25 17 16 25 0 19 15
23 18 23 18 15 20 21 17 18 15 19 21 23 17 23 19 19 0 20
15 19 25 25 21 16 24 20 19 17 25 22 20 21 25 25 15 20 0
