11
10
53 44 43 50 24 25 1 16 66 13 70
0 21 16 17 20 15 24 23 23 18 24 18 24
21 0 25 20 21 23 23 15 18 20 23 22 16
16 25 0 23 15 25 15 25 21 22 18 19 20
17 20 23 0 22 17 25 21 20 21 16 22 21
20 21 15 22 0 18 25 23 15 20 18 19 25
15 23 25 17 18 0 24 19 25 21 21 25 20
24 23 15 25 25 24 0 18 23 16 22 19 17
23 15 25 21 23 19 18 0 18 25 19 21 18
23 18 21 20 15 25 23 18 0 15 18 20 21
18 20 22 21 20 21 16 25 15 0 19 23 22
24 23 18 16 18 21 22 19 18 19 0 23 16
18 22 19 22 19 25 19 21 20 23 23 0 17
24 16 20 21 25 20 17 18 21 22 16 17 0
