12
10
66 8 22 43 72 33 55 61 6 64 41 66
0 22 16 25 24 21 23 25 15 18 19 25 18 25
22 0 17 16 21 22 18 15 16 21 25 15 16 17
16 17 0 16 24 15 24 19 18 23 18 16 15 22
25 16 16 0 21 18 19 17 23 21 20 23 19 20
24 21 24 21 0 22 23 17 15 15 18 22 17 18
21 22 15 18 22 0 18 15 25 19 18 25 18 15
23 18 24 19 23 18 0 19 16 17 19 18 25 24
25 15 19 17 17 15 19 0 25 18 25 18 17 24
15 16 18 23 15 25 16 25 0 19 21 22 19 20
18 21 23 21 15 19 17 18 19 0 17 19 17 17
19 25 18 20 18 18 19 25 21 17 0 19 15 17
25 15 16 23 22 25 18 18 22 19 19 0 15 16
18 16 15 19 17 18 25 17 19 17 15 15 0 16
25 17 22 20 18 15 24 24 20 17 17 16 16 0
