11
10
10 60 9 45 50 7 72 27 47 57 28
0 16 18 15 17 20 15 21 16 20 18 16 18
16 0 21 20 25 22 25 19 20 25 15 19 19
18 21 0 18 19 25 15 21 16 21 15 17 23
15 20 18 0 16 17 21 17 23 21 22 24 20
17 25 19 16 0 15 23 21 21 19 22 23 24
20 22 25 17 15 0 22 19 22 16 23 15 24
15 25 15 21 23 22 0 25 22 20 20 21 18
21 19 21 17 21 19 25 0 18 15 24 24 22
16 20 16 23 21 22 22 18 0 18 25 23 21
20 25 21 21 19 16 20 15 18 0 15 15 17
18 15 15 22 22 23 20 24 25 15 0 21 19
16 19 17 24 23 15 21 24 23 15 21 0 24
18 19 23 20 24 24 18 22 21 17 19 24 0
