13
10
13 53 61 19 55 55 28 29 8 41 57 23 44
0 17 25 18 22 25 24 22 23 20 25 17 20 15 25
17 0 22 21 16 20 21 22 25 25 24 21 24 24 17
25 22 0 22 19 17 21 21 15 22 21 23 19 21 21
18 21 22 0 25 21 23 17 24 20 17 16 23 25 16
22 16 19 25 0 23 21 19 16 23 19 15 19 21 17
25 20 17 21 23 0 16 19 24 24 22 19 19 25 25
24 21 21 23 21 16 0 17 15 23 23 19 19 17 24
22 22 21 17 19 19 17 0 23 19 25 18 22 24 19
23 25 15 24 16 24 15 23 0 20 20 16 25 21 25
20 25 22 20 23 24 23 19 20 0 15 21 24 24 25
25 24 21 17 19 22 23 25 20 15 0 24 23 18 22
17 21 23 16 15 19 19 18 16 21 24 0 20 25 19
20 24 19 23 19 19 19 22 25 24 23 20 0 19 25
15 24 21 25 21 25 17 24 21 24 18 25 19 0 22
25 17 21 16 17 25 24 19 25 25 22 19 25 22 0
