17
10
65 4 36 20 13 10 44 67 12 2 32 44 54 22 24 39 18
0 17 21 24 17 22 18 22 19 24 15 21 19 16 23 20 24 24 17
17 0 21 19 16 17 18 20 23 15 17 23 19 15 24 21 17 18 17
21 21 0 15 24 16 23 24 15 23 21 16 24 20 25 19 22 22 15
24 19 15 0 21 20 23 24 19 17 17 20 23 24 24 22 16 22 18
17 16 24 21 0 17 15 24 16 24 20 18 23 19 20 20 21 22 18
22 17 16 20 17 0 20 22 20 22 19 23 17 20 22 23 25 18 25
18 18 23 23 15 20 0 17 17 22 16 19 22 19 15 18 18 16 23
22 20 24 24 24 22 17 0 21 15 21 17 23 22 17 22 19 23 15
19 23 15 19 16 20 17 21 0 18 15 22 20 16 21 18 17 19 25
24 15 23 17 24 22 22 15 18 0 23 17 21 19 16 24 15 22 18
15 17 21 17 20 19 16 21 15 23 0 18 15 18 21 20 15 17 25
21 23 16 20 18 23 19 17 22 17 18 0 17 15 19 22 15 25 25
19 19 24 23 23 17 22 23 20 21 15 17 0 16 24 16 24 22 22
16 15 20 24 19 20 19 22 16 19 18 15 16 0 21 22 24 24 16
23 24 25 24 20 22 15 17 21 16 21 19 24 21 0 24 25 23 18
20 21 19 22 20 23 18 22 18 24 20 22 16 22 24 0 21 21 16
24 17 22 16 21 25 18 19 17 15 15 15 24 24 25 21 0 20 20
24 18 22 22 22 18 16 23 19 22 17 25 22 24 23 21 20 0 15
17 17 15 18 18 25 23 15 25 18 25 25 22 16 18 16 20 15 0
