11
10
36 39 52 1 30 10 47 22 31 71 70
0 20 18 25 15 23 16 17 15 15 21 15 17
20 0 25 22 17 18 23 24 15 16 16 24 24
18 25 0 24 25 25 21 22 25 15 20 21 20
25 22 24 0 25 25 16 23 25 19 19 19 25
15 17 25 25 0 21 22 21 25 23 19 20 23
23 18 25 25 21 0 17 17 15 16 15 19 16
16 23 21 16 22 17 0 22 24 20 18 15 20
17 24 22 23 21 17 22 0 19 20 16 22 21
15 15 25 25 25 15 24 19 0 15 17 17 20
15 16 15 19 23 16 20 20 15 0 15 24 15
21 16 20 19 19 15 18 16 17 15 0 24 23
15 24 21 19 20 19 15 22 17 24 24 0 16
17 24 20 25 23 16 20 21 20 15 23 16 0
