16
10
50 52 7 43 62 31 31 4 64 26 42 60 5 5 5 4
0 20 25 25 17 21 22 22 25 22 18 17 19 23 17 22 20 16
20 0 18 24 23 15 20 15 18 24 18 17 19 16 21 17 17 15
25 18 0 17 22 22 24 18 23 22 22 21 23 20 15 18 16 20
25 24 17 0 17 15 18 19 24 19 17 19 19 21 16 18 25 15
17 23 22 17 0 20 18 23 25 22 23 18 18 24 24 25 18 19
21 15 22 15 20 0 18 15 20 20 19 23 23 16 20 21 17 24
22 20 24 18 18 18 0 19 16 24 22 20 18 24 17 15 21 16
22 15 18 19 23 15 19 0 20 20 16 20 25 18 18 19 25 15
25 18 23 24 25 20 16 20 0 19 23 15 22 20 19 15 21 21
22 24 22 19 22 20 24 20 19 0 25 23 23 18 16 19 19 15
18 18 22 17 23 19 22 16 23 25 0 23 21 15 17 18 21 16
17 17 21 19 18 23 20 20 15 23 23 0 18 15 24 22 18 15
19 19 23 19 18 23 18 25 22 23 21 18 0 24 18 21 23 24
23 16 20 21 24 16 24 18 20 18 15 15 24 0 19 20 24 25
17 21 15 16 24 20 17 18 19 16 17 24 18 19 0 22 15 18
22 17 18 18 25 21 15 19 15 19 18 22 21 20 22 0 16 15
20 17 16 25 18 17 21 25 21 19 21 18 23 24 15 16 0 21
16 15 20 15 19 24 16 15 21 15 16 15 24 25 18 15 21 0
