12
10
24 5 50 37 4 60 56 23 49 71 44 63
0 23 18 18 24 15 21 25 24 22 21 19 18 18
23 0 21 24 17 19 24 15 16 20 15 25 15 16
18 21 0 25 19 24 15 23 21 24 23 20 22 23
18 24 25 0 22 21 19 19 18 24 22 20 15 25
24 17 19 22 0 22 24 18 16 22 19 20 16 18
15 19 24 21 22 0 17 16 22 15 18 19 16 22
21 24 15 19 24 17 0 25 15 22 20 18 19 25
25 15 23 19 18 16 25 0 17 19 23 20 24 25
24 16 21 18 16 22 15 17 0 17 16 23 23 24
22 20 24 24 22 15 22 19 17 0 18 21 18 23
21 15 23 22 19 18 20 23 16 18 0 19 21 23
19 25 20 20 20 19 18 20 23 21 19 0 24 22
18 15 22 15 16 16 19 24 23 18 21 24 0 18
18 16 23 25 18 22 25 25 24 23 23 22 18 0
