13
10
27 42 49 61 1 61 13 16 18 11 52 57 71
0 18 25 24 17 16 22 20 15 25 25 16 17 22 20
18 0 17 19 24 20 17 24 18 20 22 18 19 24 25
25 17 0 23 19 24 15 16 15 16 19 17 16 24 16
24 19 23 0 24 19 17 23 25 19 25 18 18 21 15
17 24 19 24 0 24 24 15 20 20 23 24 21 15 20
16 20 24 19 24 0 23 22 23 21 15 25 24 16 16
22 17 15 17 24 23 0 21 19 25 19 24 17 15 24
20 24 16 23 15 22 21 0 18 25 19 18 22 16 16
15 18 15 25 20 23 19 18 0 21 15 16 21 20 22
25 20 16 19 20 21 25 25 21 0 19 20 23 21 15
25 22 19 25 23 15 19 19 15 19 0 20 24 20 15
16 18 17 18 24 25 24 18 16 20 20 0 19 25 19
17 19 16 18 21 24 17 22 21 23 24 19 0 25 22
22 24 24 21 15 16 15 16 20 21 20 25 25 0 24
20 25 16 15 20 16 24 16 22 15 15 19 22 24 0
