14
10
57 34 40 39 54 37 62 62 52 42 45 40 7 12
0 23 20 22 24 15 17 18 15 24 22 16 15 16 25 23
23 0 21 20 22 15 19 17 22 19 17 23 24 24 21 18
20 21 0 23 19 25 19 19 23 24 20 17 20 16 23 21
22 20 23 0 17 23 19 16 17 16 21 23 15 16 22 20
24 22 19 17 0 17 25 25 16 15 20 20 15 21 25 17
15 15 25 23 17 0 19 16 20 25 19 15 19 18 25 16
17 19 19 19 25 19 0 15 21 18 20 23 17 18 24 18
18 17 19 16 25 16 15 0 18 17 23 17 22 22 22 15
15 22 23 17 16 20 21 18 0 20 22 16 21 19 18 20
24 19 24 16 15 25 18 17 20 0 15 15 18 16 22 24
22 17 20 21 20 19 20 23 22 15 0 17 24 18 22 19
16 23 17 23 20 15 23 17 16 15 17 0 24 17 19 18
15 24 20 15 15 19 17 22 21 18 24 24 0 19 21 23
16 24 16 16 21 18 18 22 19 16 18 17 19 0 23 21
25 21 23 22 25 25 24 22 18 22 22 19 21 23 0 25
23 18 21 20 17 16 18 15 20 24 19 18 23 21 25 0
