16
10
9 49 32 38 39 2 41 44 1 62 58 13 46 63 62 23
0 23 19 24 15 24 25 18 19 15 21 21 25 17 16 22 15 23
23 0 18 15 16 17 24 23 21 25 20 23 16 21 15 18 24 25
19 18 0 19 21 24 16 25 19 25 23 16 24 22 19 17 19 19
24 15 19 0 19 23 16 17 18 20 16 15 21 23 19 17 23 25
15 16 21 19 0 17 22 25 20 23 22 25 20 23 20 16 15 25
24 17 24 23 17 0 16 22 22 19 22 19 24 19 25 17 25 17
25 24 16 16 22 16 0 17 23 19 21 25 18 18 22 20 21 24
18 23 25 17 25 22 17 0 19 23 21 25 25 21 19 25 22 20
19 21 19 18 20 22 23 19 0 19 23 17 17 19 23 20 15 18
15 25 25 20 23 19 19 23 19 0 16 20 23 15 24 23 19 21
21 20 23 16 22 22 21 21 23 16 0 25 23 15 22 25 15 17
21 23 16 15 25 19 25 25 17 20 25 0 24 22 24 20 19 22
25 16 24 21 20 24 18 25 17 23 23 24 0 23 17 17 21 23
17 21 22 23 23 19 18 21 19 15 15 22 23 0 16 20 15 18
16 15 19 19 20 25 22 19 23 24 22 24 17 16 0 21 24 22
22 18 17 17 16 17 20 25 20 23 25 20 17 20 21 0 15 17
15 24 19 23 15 25 21 22 15 19 15 19 21 15 24 15 0 21
23 25 19 25 25 17 24 20 18 21 17 22 23 18 22 17 21 0
