11
10
40 31 43 47 29 18 68 30 1 59 54
0 20 24 22 19 22 18 18 20 19 17 21 15
20 0 15 15 21 15 20 22 18 23 17 17 23
24 15 0 21 25 25 25 21 23 21 21 19 24
22 15 21 0 19 20 19 22 25 24 24 23 18
19 21 25 19 0 22 18 21 16 25 16 24 15
22 15 25 20 22 0 21 18 18 21 24 15 15
18 20 25 19 18 21 0 18 17 21 18 21 23
18 22 21 22 21 18 18 0 25 25 21 15 22
20 18 23 25 16 18 17 25 0 19 21 16 16
19 23 21 24 25 21 21 25 19 0 18 22 19
17 17 21 24 16 24 18 21 21 18 0 22 25
21 17 19 23 24 15 21 15 16 22 22 0 25
15 23 24 18 15 15 23 22 16 19 25 25 0
