14
10
8 2 29 10 25 22 40 13 36 8 66 63 42 64
0 18 18 22 19 21 21 22 18 20 18 22 17 21 20 21
18 0 24 18 15 24 25 16 18 15 25 23 19 19 15 20
18 24 0 16 16 17 15 18 20 25 20 16 24 25 23 23
22 18 16 0 17 17 15 16 15 16 24 21 20 24 22 22
19 15 16 17 0 19 21 25 17 21 25 24 16 19 22 23
21 24 17 17 19 0 24 24 23 23 25 21 22 16 22 19
21 25 15 15 21 24 0 24 16 25 15 18 19 16 19 18
22 16 18 16 25 24 24 0 24 24 18 18 25 17 21 15
18 18 20 15 17 23 16 24 0 17 19 17 19 20 20 19
20 15 25 16 21 23 25 24 17 0 24 24 23 24 19 18
18 25 20 24 25 25 15 18 19 24 0 18 24 19 21 20
22 23 16 21 24 21 18 18 17 24 18 0 22 15 18 20
17 19 24 20 16 22 19 25 19 23 24 22 0 15 17 17
21 19 25 24 19 16 16 17 20 24 19 15 15 0 22 17
20 15 23 22 22 22 19 21 20 19 21 18 17 22 0 19
21 20 23 22 23 19 18 15 19 18 20 20 17 17 19 0
