12
10
28 62 33 24 10 4 26 17 7 31 30 23
0 19 15 16 25 19 18 21 20 16 18 25 24 21
19 0 19 20 21 19 24 23 20 22 20 22 15 21
15 19 0 18 16 25 18 24 22 17 22 15 20 23
16 20 18 0 24 22 17 16 16 21 21 23 17 15
25 21 16 24 0 19 15 21 20 19 17 16 18 19
19 19 25 22 19 0 17 25 23 19 23 15 18 19
18 24 18 17 15 17 0 16 22 18 25 25 20 24
21 23 24 16 21 25 16 0 18 16 15 19 24 19
20 20 22 16 20 23 22 18 0 17 19 24 22 16
16 22 17 21 19 19 18 16 17 0 22 20 25 22
18 20 22 21 17 23 25 15 19 22 0 21 22 19
25 22 15 23 16 15 25 19 24 20 21 0 24 21
24 15 20 17 18 18 20 24 22 25 22 24 0 17
21 21 23 15 19 19 24 19 16 22 19 21 17 0
