16
10
23 25 46 33 42 40 2 4 59 18 22 20 24 31 65 52
0 18 24 24 25 21 22 19 17 21 23 16 19 19 24 15 25 19
18 0 20 18 17 24 18 17 23 17 18 20 16 16 17 16 22 18
24 20 0 17 22 19 16 18 19 21 21 18 16 24 19 21 19 19
24 18 17 0 15 21 19 17 18 18 24 16 24 22 18 25 25 18
25 17 22 15 0 25 19 22 22 23 23 22 20 15 21 24 24 15
21 24 19 21 25 0 22 21 16 25 23 20 19 15 18 21 23 24
22 18 16 19 19 22 0 19 19 21 21 25 25 20 25 24 23 18
19 17 18 17 22 21 19 0 21 21 21 17 21 22 21 24 25 21
17 23 19 18 22 16 19 21 0 16 19 17 17 16 25 17 15 21
21 17 21 18 23 25 21 21 16 0 18 19 20 17 22 16 15 23
23 18 21 24 23 23 21 21 19 18 0 24 23 20 18 21 19 20
16 20 18 16 22 20 25 17 17 19 24 0 16 17 17 22 24 17
19 16 16 24 20 19 25 21 17 20 23 16 0 21 25 18 15 16
19 16 24 22 15 15 20 22 16 17 20 17 21 0 16 19 24 25
24 17 19 18 21 18 25 21 25 22 18 17 25 16 0 17 25 22
15 16 21 25 24 21 24 24 17 16 21 22 18 19 17 0 21 15
25 22 19 25 24 23 23 25 15 15 19 24 15 24 25 21 0 25
19 18 19 18 15 24 18 21 21 23 20 17 16 25 22 15 25 0
