20
20
7 2 13 5 9 2 6 15 16 13 13 7 1 7 6 1 9 4 13 13
0 18 19 16 21 22 17 16 16 15 21 23 19 15 18 23 23 20 19 17 16 19
18 0 18 15 25 19 19 18 17 19 19 25 20 16 24 20 25 21 23 18 17 18
19 18 0 22 19 16 23 19 15 19 24 19 23 18 21 21 24 19 21 22 17 18
16 15 22 0 19 19 15 16 15 22 25 19 23 23 25 22 20 17 25 18 16 21
21 25 19 19 0 18 25 25 22 19 17 20 21 24 20 25 23 18 20 16 15 18
22 19 16 19 18 0 19 24 24 18 16 20 17 19 22 15 15 20 16 19 25 20
17 19 23 15 25 19 0 15 20 19 20 17 25 21 24 25 16 19 24 18 22 19
16 18 19 16 25 24 15 0 17 19 21 24 17 20 24 15 20 15 22 17 20 20
16 17 15 15 22 24 20 17 0 19 24 16 22 18 21 18 16 15 15 15 17 24
15 19 19 22 19 18 19 19 19 0 25 17 24 15 23 22 24 18 20 15 16 23
21 19 24 25 17 16 20 21 24 25 0 19 21 25 18 22 18 18 22 21 22 15
23 25 19 19 20 20 17 24 16 17 19 0 18 21 22 18 25 21 18 22 18 15
19 20 23 23 21 17 25 17 22 24 21 18 0 15 19 19 18 23 18 18 21 19
15 16 18 23 24 19 21 20 18 15 25 21 15 0 17 20 15 20 24 16 24 21
18 24 21 25 20 22 24 24 21 23 18 22 19 17 0 25 25 15 22 21 16 21
23 20 21 22 25 15 25 15 18 22 22 18 19 20 25 0 18 24 17 20 19 25
23 25 24 20 23 15 16 20 16 24 18 25 18 15 25 18 0 22 25 20 21 23
20 21 19 17 18 20 19 15 15 18 18 21 23 20 15 24 22 0 18 25 25 19
19 23 21 25 20 16 24 22 15 20 22 18 18 24 22 17 25 18 0 20 21 22
17 18 22 18 16 19 18 17 15 15 21 22 18 16 21 20 20 25 20 0 16 19
16 17 17 16 15 25 22 20 17 16 22 18 21 24 16 19 21 25 21 16 0 25
19 18 18 21 18 20 19 20 24 23 15 15 19 21 21 25 23 19 22 19 25 0
