14
14
53 5 19 40 13 29 19 9 17 25 39 11 22 37
0 18 19 16 21 22 17 16 16 15 21 23 19 15 18 23
18 0 23 20 19 17 16 19 18 15 25 19 19 18 17 19
19 23 0 19 25 20 16 24 20 25 21 23 18 17 18 22
16 20 19 0 19 16 23 19 15 19 24 19 23 18 21 21
21 19 25 19 0 24 19 21 22 17 18 19 19 15 16 15
22 17 20 16 24 0 22 25 19 23 23 25 22 20 17 25
17 16 16 23 19 22 0 18 16 21 18 25 25 22 19 17
16 19 24 19 21 25 18 0 20 21 24 20 25 23 18 20
16 18 20 15 22 19 16 20 0 16 15 18 19 24 24 18
15 15 25 19 17 23 21 21 16 0 16 20 17 19 22 15
21 25 21 24 18 23 18 24 15 16 0 15 20 16 19 25
23 19 23 19 19 25 25 20 18 20 15 0 20 15 20 19
19 19 18 23 19 22 25 25 19 17 20 20 0 20 17 25
15 18 17 18 15 20 22 23 24 19 16 15 20 0 21 24
18 17 18 21 16 17 19 18 24 22 19 20 17 21 0 25
23 19 22 21 15 25 17 20 18 15 25 19 25 24 25 0
