19
19
4 1 1 3 3 2 4 2 1 3 2 4 3 2 1 1 2 3 2
0 18 24 23 17 20 24 22 25 24 16 24 15 22 19 23 18 18 22 23 23
18 0 22 21 25 17 18 25 17 23 21 15 25 16 17 24 15 19 15 19 22
24 22 0 24 21 21 21 24 22 17 20 16 15 17 22 18 19 25 21 25 19
23 21 24 0 21 23 21 24 20 23 24 21 24 18 20 25 15 19 24 25 17
17 25 21 21 0 20 23 24 24 16 25 18 25 24 19 19 16 16 22 25 22
20 17 21 23 20 0 16 20 16 21 17 15 19 21 21 16 15 24 24 15 21
24 18 21 21 23 16 0 24 20 23 19 23 18 15 19 15 16 16 24 23 15
22 25 24 24 24 20 24 0 18 21 19 24 19 17 15 20 20 20 17 21 21
25 17 22 20 24 16 20 18 0 22 23 21 25 24 25 23 16 24 23 19 21
24 23 17 23 16 21 23 21 22 0 25 18 19 21 19 23 19 23 20 15 21
16 21 20 24 25 17 19 19 23 25 0 24 20 15 21 24 24 25 17 15 25
24 15 16 21 18 15 23 24 21 18 24 0 25 20 22 20 25 20 24 19 22
15 25 15 24 25 19 18 19 25 19 20 25 0 15 24 15 25 15 20 19 25
22 16 17 18 24 21 15 17 24 21 15 20 15 0 22 19 24 24 20 17 20
19 17 22 20 19 21 19 15 25 19 21 22 24 22 0 17 20 20 24 19 19
23 24 18 25 19 16 15 20 23 23 24 20 15 19 17 0 21 16 15 24 25
18 15 19 15 16 15 16 20 16 19 24 25 25 24 20 21 0 17 19 23 18
18 19 25 19 16 24 16 20 24 23 25 20 15 24 20 16 17 0 25 19 18
22 15 21 24 22 24 24 17 23 20 17 24 20 20 24 15 19 25 0 20 17
23 19 25 25 25 15 23 21 19 15 15 19 19 17 19 24 23 19 20 0 25
23 22 19 17 22 21 15 21 21 21 25 22 25 20 19 25 18 18 17 25 0
