12
12
9 157 67 122 18 23 34 39 10 21 139 101
0 21 21 15 19 23 22 21 19 22 20 24 18 23
21 0 17 19 17 16 24 19 23 24 17 19 16 16
21 17 0 25 20 22 23 16 20 21 20 24 25 18
15 19 25 0 23 22 22 23 19 15 23 15 16 21
19 17 20 23 0 25 25 15 24 22 20 18 20 16
23 16 22 22 25 0 18 24 18 18 17 23 22 16
22 24 23 22 25 18 0 16 20 23 22 16 19 23
21 19 16 23 15 24 16 0 19 16 23 20 23 18
19 23 20 19 24 18 20 19 0 24 23 24 19 22
22 24 21 15 22 18 23 16 24 0 16 24 21 20
20 17 20 23 20 17 22 23 23 16 0 24 18 19
24 19 24 15 18 23 16 20 24 24 24 0 17 18
18 16 25 16 20 22 19 23 19 21 18 17 0 17
23 16 18 21 16 16 23 18 22 20 19 18 17 0
