11
11
14 92 84 28 82 74 35 37 16 9 62
0 18 24 23 17 20 24 22 25 24 16 24 15
18 0 22 19 23 18 18 22 23 23 22 21 25
24 22 0 17 18 25 17 23 21 15 25 16 17
23 19 17 0 24 15 19 15 19 22 24 21 21
17 23 18 24 0 21 24 22 17 20 16 15 17
20 18 25 15 21 0 22 18 19 25 21 25 19
24 18 17 19 24 22 0 21 23 21 24 20 23
22 22 23 15 22 18 21 0 24 21 24 18 20
25 23 21 19 17 19 23 24 0 25 15 19 24
24 23 15 22 20 25 21 21 25 0 25 17 20
16 22 25 24 16 21 24 24 15 25 0 23 24
24 21 16 21 15 25 20 18 19 17 23 0 24
15 25 17 21 17 19 23 20 24 20 24 24 0
