16
16
39 156 11 140 126 150 64 83 10 32 136 75 105 52 123 52
0 18 19 16 21 22 17 16 16 15 21 23 19 15 18 23 23 20
18 0 19 17 16 19 18 15 25 19 19 18 17 19 19 25 20 16
19 19 0 24 20 25 21 23 18 17 18 22 19 16 23 19 15 19
16 17 24 0 24 19 23 18 21 21 24 19 21 22 17 18 19 19
21 16 20 24 0 15 16 15 22 25 19 23 23 25 22 20 17 25
22 19 25 19 15 0 18 16 21 18 25 25 22 19 17 20 21 24
17 18 21 23 16 18 0 20 25 23 18 20 16 15 18 19 24 24
16 15 23 18 15 16 20 0 18 16 20 17 19 22 15 15 20 16
16 25 18 21 22 21 25 18 0 19 25 20 15 20 19 20 17 25
15 19 17 21 25 18 23 16 19 0 21 24 25 16 19 24 18 22
21 19 18 24 19 25 18 20 25 21 0 19 17 19 21 24 17 20
23 18 22 19 23 25 20 17 20 24 19 0 24 15 20 15 22 17
19 17 19 21 23 22 16 19 15 25 17 24 0 20 20 19 24 16
15 19 16 22 25 19 15 22 20 16 19 15 20 0 22 18 21 18
18 19 23 17 22 17 18 15 19 19 21 20 20 22 0 16 15 15
23 25 19 18 20 20 19 15 20 24 24 15 19 18 16 0 15 17
23 20 15 19 17 21 24 20 17 18 17 22 24 21 15 15 0 24
20 16 19 19 25 24 24 16 25 22 20 17 16 18 15 17 24 0
