12
12
105 80 54 126 132 94 20 88 3 49 28 16
0 15 16 16 20 17 25 19 19 24 18 24 15 24
15 0 25 17 21 25 21 23 20 23 22 23 19 15
16 25 0 15 20 22 20 21 21 23 17 23 17 18
16 17 15 0 18 15 17 20 17 17 23 23 20 23
20 21 20 18 0 25 23 17 22 21 23 20 24 20
17 25 22 15 25 0 20 22 17 21 22 25 23 18
25 21 20 17 23 20 0 22 19 22 23 23 20 25
19 23 21 20 17 22 22 0 22 22 20 24 23 22
19 20 21 17 22 17 19 22 0 22 25 18 20 17
24 23 23 17 21 21 22 22 22 0 24 19 22 19
18 22 17 23 23 22 23 20 25 24 0 19 23 23
24 23 23 23 20 25 23 24 18 19 19 0 23 23
15 19 17 20 24 23 20 23 20 22 23 23 0 25
24 15 18 23 20 18 25 22 17 19 23 23 25 0
