17
17
5 11 11 17 11 18 19 30 21 32 31 8 2 20 25 22 27
0 17 24 16 19 16 22 22 22 25 21 18 16 22 15 21 21 24 15
17 0 22 19 18 24 16 20 15 15 15 25 23 15 21 25 18 21 15
24 22 0 23 18 22 22 23 18 20 18 25 18 22 19 15 21 23 25
16 19 23 0 16 17 25 19 16 20 23 21 23 25 18 19 19 24 22
19 18 18 16 0 23 21 24 15 22 18 21 21 25 17 20 23 25 20
16 24 22 17 23 0 16 22 25 23 16 17 23 21 20 22 15 22 15
22 16 22 25 21 16 0 19 24 24 24 21 25 17 17 23 18 15 18
22 20 23 19 24 22 19 0 23 23 18 21 23 20 24 20 22 19 25
22 15 18 16 15 25 24 23 0 23 24 15 21 23 17 23 23 18 21
25 15 20 20 22 23 24 23 23 0 15 22 20 24 23 18 23 21 22
21 15 18 23 18 16 24 18 24 15 0 20 21 20 15 23 23 24 24
18 25 25 21 21 17 21 21 15 22 20 0 20 22 24 15 18 25 17
16 23 18 23 21 23 25 23 21 20 21 20 0 23 24 17 16 23 19
22 15 22 25 25 21 17 20 23 24 20 22 23 0 15 25 16 16 15
15 21 19 18 17 20 17 24 17 23 15 24 24 15 0 22 15 19 18
21 25 15 19 20 22 23 20 23 18 23 15 17 25 22 0 19 16 24
21 18 21 19 23 15 18 22 23 23 23 18 16 16 15 19 0 17 20
24 21 23 24 25 22 15 19 18 21 24 25 23 16 19 16 17 0 19
15 15 25 22 20 15 18 25 21 22 24 17 19 15 18 24 20 19 0
