14
14
132 34 133 53 110 15 124 94 52 130 106 125 92 107
0 17 24 16 19 16 22 22 22 25 21 18 16 22 15 21
17 0 21 24 15 22 19 18 24 16 20 15 15 15 25 23
24 21 0 15 21 25 18 21 15 23 18 22 22 23 18 20
16 24 15 0 18 25 18 22 19 15 21 23 25 16 17 25
19 15 21 18 0 19 16 20 23 21 23 25 18 19 19 24
16 22 25 25 19 0 22 23 21 24 15 22 18 21 21 25
22 19 18 18 16 22 0 17 20 23 25 20 16 22 25 23
22 18 21 22 20 23 17 0 16 17 23 21 20 22 15 22
22 24 15 19 23 21 20 16 0 15 19 24 24 24 21 25
25 16 23 15 21 24 23 17 15 0 17 17 23 18 15 18
21 20 18 21 23 15 25 23 19 17 0 23 23 18 21 23
18 15 22 23 25 22 20 21 24 17 23 0 20 24 20 22
16 15 22 25 18 18 16 20 24 23 23 20 0 19 25 23
22 15 23 16 19 21 22 22 24 18 18 24 19 0 24 15
15 25 18 17 19 21 25 15 21 15 21 20 25 24 0 21
21 23 20 25 24 25 23 22 25 18 23 22 23 15 21 0
