19
19
6 1 16 14 10 12 13 9 5 1 15 3 11 2 9 5 8 16 12
0 21 21 15 19 23 22 21 19 22 20 24 18 23 17 19 17 16 24 19 23
21 0 24 17 19 16 16 25 20 22 23 16 20 21 20 24 25 18 23 22 22
21 24 0 23 19 15 23 15 16 21 25 25 15 24 22 20 18 20 16 18 24
15 17 23 0 18 18 17 23 22 16 16 20 23 22 16 19 23 19 16 23 20
19 19 19 18 0 23 18 24 23 24 19 22 16 24 21 20 24 18 19 17 18
23 16 15 18 23 0 17 15 24 25 19 22 16 16 25 17 17 15 16 23 25
22 16 23 17 18 17 0 21 23 19 23 18 18 25 24 21 24 19 22 22 25
21 25 15 23 24 15 21 0 25 20 16 20 24 16 22 24 25 20 18 18 15
19 20 16 22 23 24 23 25 0 19 16 18 20 17 20 21 15 16 17 18 15
22 22 21 16 24 25 19 20 19 0 24 25 23 24 25 16 15 16 25 18 24
20 23 25 16 19 19 23 16 16 24 0 24 16 21 16 20 16 15 24 15 18
24 16 25 20 22 22 18 20 18 25 24 0 17 16 22 18 15 25 15 23 21
18 20 15 23 16 16 18 24 20 23 16 17 0 24 16 19 16 18 16 25 19
23 21 24 22 24 16 25 16 17 24 21 16 24 0 20 21 17 15 23 22 15
17 20 22 16 21 25 24 22 20 25 16 22 16 20 0 24 16 21 18 19 20
19 24 20 19 20 17 21 24 21 16 20 18 19 21 24 0 22 24 17 25 18
17 25 18 23 24 17 24 25 15 15 16 15 16 17 16 22 0 15 25 17 17
16 18 20 19 18 15 19 20 16 16 15 25 18 15 21 24 15 0 20 23 19
24 23 16 16 19 16 22 18 17 25 24 15 16 23 18 17 25 20 0 16 24
19 22 18 23 17 23 22 18 18 18 15 23 25 22 19 25 17 23 16 0 22
23 22 24 20 18 25 25 15 15 24 18 21 19 15 20 18 17 19 24 22 0
