14
14
12 3 11 4 16 11 7 8 1 9 4 8 12 6
0 21 21 15 19 23 22 21 19 22 20 24 18 23 17 19
21 0 17 16 24 19 23 24 17 19 16 16 25 20 22 23
21 17 0 16 20 21 20 24 25 18 23 22 22 23 19 15
15 16 16 0 23 15 16 21 25 25 15 24 22 20 18 20
19 24 20 23 0 16 18 24 18 18 17 23 22 16 16 20
23 19 21 15 16 0 23 22 16 19 23 19 16 23 20 23
22 23 20 16 18 23 0 18 24 23 24 19 22 16 24 21
21 24 24 21 24 22 18 0 20 24 18 19 17 18 17 15
19 17 25 25 18 16 24 20 0 24 25 19 22 16 16 25
22 19 18 25 18 19 23 24 24 0 17 17 15 16 23 25
20 16 23 15 17 23 24 18 25 17 0 21 23 19 23 18
24 16 22 24 23 19 19 19 19 17 21 0 18 25 24 21
18 25 22 22 22 16 22 17 22 15 23 18 0 24 19 22
23 20 23 20 16 23 16 18 16 16 19 25 24 0 22 25
17 22 19 18 16 20 24 17 16 23 23 24 19 22 0 25
19 23 15 20 20 23 21 15 25 25 18 21 22 25 25 0
