13
13
101 135 71 134 61 56 108 71 116 127 92 22 84
0 21 21 15 19 23 22 21 19 22 20 24 18 23 17
21 0 19 17 16 24 19 23 24 17 19 16 16 25 20
21 19 0 22 23 16 20 21 20 24 25 18 23 22 22
15 17 22 0 23 19 15 23 15 16 21 25 25 15 24
19 16 23 23 0 22 20 18 20 16 18 24 18 18 17
23 24 16 19 22 0 23 22 16 16 20 23 22 16 19
22 19 20 15 20 23 0 23 19 16 23 20 23 18 24
21 23 21 23 18 22 23 0 23 24 19 22 16 24 21
19 24 20 15 20 16 19 23 0 20 24 18 19 17 18
22 17 24 16 16 16 16 24 20 0 17 15 24 25 19
20 19 25 21 18 20 23 19 24 17 0 22 16 16 25
24 16 18 25 24 23 20 22 18 15 22 0 17 17 15
18 16 23 25 18 22 23 16 19 24 16 17 0 16 23
23 25 22 15 18 16 18 24 17 25 16 17 16 0 25
17 20 22 24 17 19 24 21 18 19 25 15 23 25 0
