11
11
76 37 57 12 77 103 50 41 74 31 38
0 21 21 15 19 23 22 21 19 22 20 24 18
21 0 23 17 19 17 16 24 19 23 24 17 19
21 23 0 16 16 25 20 22 23 16 20 21 20
15 17 16 0 24 25 18 23 22 22 23 19 15
19 19 16 24 0 23 15 16 21 25 25 15 24
23 17 25 25 23 0 22 20 18 20 16 18 24
22 16 20 18 15 22 0 18 18 17 23 22 16
21 24 22 23 16 20 18 0 16 20 23 22 16
19 19 23 22 21 18 18 16 0 19 23 19 16
22 23 16 22 25 20 17 20 19 0 23 20 23
20 24 20 23 25 16 23 23 23 23 0 18 24
24 17 21 19 15 18 22 22 19 20 18 0 23
18 19 20 15 24 24 16 16 16 23 24 23 0
