12
12
21 7 4 15 18 38 40 16 8 22 12 19
0 18 19 16 21 22 17 16 16 15 21 23 19 15
18 0 18 23 23 20 19 17 16 19 18 15 25 19
19 18 0 19 18 17 19 19 25 20 16 24 20 25
16 23 19 0 21 23 18 17 18 22 19 16 23 19
21 23 18 21 0 15 19 24 19 23 18 21 21 24
22 20 17 23 15 0 19 21 22 17 18 19 19 15
17 19 19 18 19 19 0 16 15 22 25 19 23 23
16 17 19 17 24 21 16 0 25 22 20 17 25 18
16 16 25 18 19 22 15 25 0 16 21 18 25 25
15 19 20 22 23 17 22 22 16 0 22 19 17 20
21 18 16 19 18 18 25 20 21 22 0 21 24 20
23 15 24 16 21 19 19 17 18 19 21 0 25 23
19 25 20 23 21 19 23 25 25 17 24 25 0 18
15 19 25 19 24 15 23 18 25 20 20 23 18 0
