11
11
52 113 71 48 92 112 83 51 83 26 16
0 18 19 16 21 22 17 16 16 15 21 23 19
18 0 15 18 23 23 20 19 17 16 19 18 15
19 15 0 25 19 19 18 17 19 19 25 20 16
16 18 25 0 24 20 25 21 23 18 17 18 22
21 23 19 24 0 19 16 23 19 15 19 24 19
22 23 19 20 19 0 23 18 21 21 24 19 21
17 20 18 25 16 23 0 22 17 18 19 19 15
16 19 17 21 23 18 22 0 16 15 22 25 19
16 17 19 23 19 21 17 16 0 23 23 25 22
15 16 19 18 15 21 18 15 23 0 20 17 25
21 19 25 17 19 24 19 22 23 20 0 18 16
23 18 20 18 24 19 19 25 25 17 18 0 21
19 15 16 22 19 21 15 19 22 25 16 21 0
