15
15
14 12 1 11 15 1 8 6 6 3 9 2 3 3 1
0 17 24 16 19 16 22 22 22 25 21 18 16 22 15 21 21
17 0 24 15 22 19 18 24 16 20 15 15 15 25 23 15 21
24 24 0 25 18 21 15 23 18 22 22 23 18 20 18 25 18
16 15 25 0 22 19 15 21 23 25 16 17 25 19 16 20 23
19 22 18 22 0 21 23 25 18 19 19 24 22 23 21 24 15
16 19 21 19 21 0 22 18 21 21 25 17 20 23 25 20 16
22 18 15 15 23 22 0 22 25 23 16 17 23 21 20 22 15
22 24 23 21 25 18 22 0 22 15 19 24 24 24 21 25 17
22 16 18 23 18 21 25 22 0 17 23 18 15 18 23 23 18
25 20 22 25 19 21 23 15 17 0 21 23 20 24 20 22 19
21 15 22 16 19 25 16 19 23 21 0 25 23 24 15 21 23
18 15 23 17 24 17 17 24 18 23 25 0 17 23 23 18 21
16 15 18 25 22 20 23 24 15 20 23 17 0 15 22 20 24
22 25 20 19 23 23 21 24 18 24 24 23 15 0 23 18 23
15 23 18 16 21 25 20 21 23 20 15 23 22 23 0 21 22
21 15 25 20 24 20 22 25 23 22 21 18 20 18 21 0 20
21 21 18 23 15 16 15 17 18 19 23 21 24 23 22 20 0
