13
13
38 22 36 18 33 16 3 20 1 5 7 39 35
0 18 24 23 17 20 24 22 25 24 16 24 15 22 19
18 0 23 18 18 22 23 23 22 21 25 17 18 25 17
24 23 0 23 21 15 25 16 17 24 15 19 15 19 22
23 18 23 0 24 21 21 21 24 22 17 20 16 15 17
17 18 21 24 0 22 18 19 25 21 25 19 21 23 21
20 22 15 21 22 0 24 20 23 24 21 24 18 20 25
24 23 25 21 18 24 0 15 19 24 25 17 20 23 24
22 23 16 21 19 20 15 0 24 16 25 18 25 24 19
25 22 17 24 25 23 19 24 0 19 16 16 22 25 22
24 21 24 22 21 24 24 16 19 0 16 20 16 21 17
16 25 15 17 25 21 25 25 16 16 0 15 19 21 21
24 17 19 20 19 24 17 18 16 20 15 0 16 15 24
15 18 15 16 21 18 20 25 22 16 19 16 0 24 15
22 25 19 15 23 20 23 24 25 21 21 15 24 0 21
19 17 22 17 21 25 24 19 22 17 21 24 15 21 0
