13
13
70 71 30 52 66 45 46 59 35 71 1 50 66
0 17 24 16 19 16 22 22 22 25 21 18 16 22 15
17 0 21 21 24 15 22 19 18 24 16 20 15 15 15
24 21 0 25 23 15 21 25 18 21 15 23 18 22 22
16 21 25 0 23 18 20 18 25 18 22 19 15 21 23
19 24 23 23 0 25 16 17 25 19 16 20 23 21 23
16 15 15 18 25 0 25 18 19 19 24 22 23 21 24
22 22 21 20 16 25 0 15 22 18 21 21 25 17 20
22 19 25 18 17 18 15 0 23 25 20 16 22 25 23
22 18 18 25 25 19 22 23 0 16 17 23 21 20 22
25 24 21 18 19 19 18 25 16 0 15 22 15 19 24
21 16 15 22 16 24 21 20 17 15 0 24 24 21 25
18 20 23 19 20 22 21 16 23 22 24 0 17 17 23
16 15 18 15 23 23 25 22 21 15 24 17 0 18 15
22 15 22 21 21 21 17 25 20 19 21 17 18 0 18
15 15 22 23 23 24 20 23 22 24 25 23 15 18 0
