11
11
90 100 87 95 48 12 57 85 66 14 100
0 17 24 16 19 16 22 22 22 25 21 18 16
17 0 22 15 21 21 24 15 22 19 18 24 16
24 22 0 20 15 15 15 25 23 15 21 25 18
16 15 20 0 21 15 23 18 22 22 23 18 20
19 21 15 21 0 18 25 18 22 19 15 21 23
16 21 15 15 18 0 25 16 17 25 19 16 20
22 24 15 23 25 25 0 23 21 23 25 18 19
22 15 25 18 18 16 23 0 19 24 22 23 21
22 22 23 22 22 17 21 19 0 24 15 22 18
25 19 15 22 19 25 23 24 24 0 21 21 25
21 18 21 23 15 19 25 22 15 21 0 17 20
18 24 25 18 21 16 18 23 22 21 17 0 23
16 16 18 20 23 20 19 21 18 25 20 23 0
