19
19
2 4 2 1 4 3 4 1 3 2 2 1 3 1 1 3 3 2 4
0 17 24 16 19 16 22 22 22 25 21 18 16 22 15 21 21 24 15 22 19
17 0 18 24 16 20 15 15 15 25 23 15 21 25 18 21 15 23 18 22 22
24 18 0 23 18 20 18 25 18 22 19 15 21 23 25 16 17 25 19 16 20
16 24 23 0 23 21 23 25 18 19 19 24 22 23 21 24 15 22 18 21 21
19 16 18 23 0 25 17 20 23 25 20 16 22 25 23 16 17 23 21 20 22
16 20 20 21 25 0 15 22 15 19 24 24 24 21 25 17 17 23 18 15 18
22 15 18 23 17 15 0 23 23 18 21 23 20 24 20 22 19 25 23 24 15
22 15 25 25 20 22 23 0 21 23 17 23 23 18 21 15 22 20 24 23 18
22 15 18 18 23 15 23 21 0 23 21 22 20 21 20 15 23 23 24 24 20
25 25 22 19 25 19 18 23 23 0 22 24 15 18 25 17 23 24 17 16 23
21 23 19 19 20 24 21 17 21 22 0 19 15 25 16 16 15 22 15 19 18
18 15 15 24 16 24 23 23 22 24 19 0 19 16 24 17 20 19 16 17 17
16 21 21 22 22 24 20 23 20 15 15 19 0 19 23 17 25 19 25 19 22
22 25 23 23 25 21 24 18 21 18 25 16 19 0 20 22 22 16 15 19 21
15 18 25 21 23 25 20 21 20 25 16 24 23 20 0 20 21 18 19 16 19
21 21 16 24 16 17 22 15 15 17 16 17 17 22 20 0 23 18 24 21 15
21 15 17 15 17 17 19 22 23 23 15 20 25 22 21 23 0 18 15 21 17
24 23 25 22 23 23 25 20 23 24 22 19 19 16 18 18 18 0 15 17 22
15 18 19 18 21 18 23 24 24 17 15 16 25 15 19 24 15 15 0 23 25
22 22 16 21 20 15 24 23 24 16 19 17 19 19 16 21 21 17 23 0 21
19 22 20 21 22 18 15 18 20 23 18 17 22 21 19 15 17 22 25 21 0
