18
18
34 14 15 27 17 10 21 4 21 37 8 37 26 42 42 3 32 25
0 18 19 16 21 22 17 16 16 15 21 23 19 15 18 23 23 20 19 17
18 0 16 19 18 15 25 19 19 18 17 19 19 25 20 16 24 20 25 21
19 16 0 23 18 17 18 22 19 16 23 19 15 19 24 19 23 18 21 21
16 19 23 0 24 19 21 22 17 18 19 19 15 16 15 22 25 19 23 23
21 18 18 24 0 25 22 20 17 25 18 16 21 18 25 25 22 19 17 20
22 15 17 19 25 0 21 24 20 25 23 18 20 16 15 18 19 24 24 18
17 25 18 21 22 21 0 16 20 17 19 22 15 15 20 16 19 25 20 15
16 19 22 22 20 24 16 0 20 19 20 17 25 21 24 25 16 19 24 18
16 19 19 17 17 20 20 20 0 22 19 17 19 21 24 17 20 24 15 20
15 18 16 18 25 25 17 19 22 0 15 22 17 20 20 19 24 16 22 18
21 17 23 19 18 23 19 20 19 15 0 21 18 16 15 15 15 17 24 25
23 19 19 19 16 18 22 17 17 22 21 0 17 24 15 23 22 24 18 20
19 19 15 15 21 20 15 25 19 17 18 17 0 15 16 23 19 21 25 18
15 25 19 16 18 16 15 21 21 20 16 24 15 0 22 18 18 22 21 22
18 20 24 15 25 15 20 24 24 20 15 15 16 22 0 15 18 21 22 18
23 16 19 22 25 18 16 25 17 19 15 23 23 18 15 0 25 21 18 22
23 24 23 25 22 19 19 16 20 24 15 22 19 18 18 25 0 18 15 15
20 20 18 19 19 24 25 19 24 16 17 24 21 22 21 21 18 0 19 19
19 25 21 23 17 24 20 24 15 22 24 18 25 21 22 18 15 19 0 18
17 21 21 23 20 18 15 18 20 18 25 20 18 22 18 22 15 19 18 0
