18
18
13 51 26 34 46 61 22 27 8 21 21 44 68 33 16 57 23 2
0 21 21 15 19 23 22 21 19 22 20 24 18 23 17 19 17 16 24 19
21 0 23 24 17 19 16 16 25 20 22 23 16 20 21 20 24 25 18 23
21 23 0 22 22 23 19 15 23 15 16 21 25 25 15 24 22 20 18 20
15 24 22 0 16 18 24 18 18 17 23 22 16 16 20 23 22 16 19 23
19 17 22 16 0 19 16 23 20 23 18 24 23 24 19 22 16 24 21 20
23 19 23 18 19 0 24 18 19 17 18 17 15 24 25 19 22 16 16 25
22 16 19 24 16 24 0 17 17 15 16 23 25 21 23 19 23 18 18 25
21 16 15 18 23 18 17 0 24 21 24 19 22 22 25 25 20 16 20 24
19 25 23 18 20 19 17 24 0 16 22 24 25 20 18 18 15 19 16 18
22 20 15 17 23 17 15 21 16 0 20 17 20 21 15 16 17 18 15 24
20 22 16 23 18 18 16 24 22 20 0 25 23 24 25 16 15 16 25 18
24 23 21 22 24 17 23 19 24 17 25 0 24 24 16 21 16 20 16 15
18 16 25 16 23 15 25 22 25 20 23 24 0 24 15 18 17 16 22 18
23 20 25 16 24 24 21 22 20 21 24 24 24 0 15 25 15 23 21 24
17 21 15 20 19 25 23 25 18 15 25 16 15 15 0 16 19 16 18 16
19 20 24 23 22 19 19 25 18 16 16 21 18 25 16 0 25 19 20 21
17 24 22 22 16 22 23 20 15 17 15 16 17 15 19 25 0 17 15 23
16 25 20 16 24 16 18 16 19 18 16 20 16 23 16 19 17 0 22 15
24 18 18 19 21 16 18 20 16 15 25 16 22 21 18 20 15 22 0 24
19 23 20 23 20 25 25 24 18 24 18 15 18 24 16 21 23 15 24 0
