20
20
31 14 13 3 24 30 14 28 4 67 60 59 40 69 83 49 28 27 56 55
0 15 16 16 20 17 25 19 19 24 18 24 15 24 25 17 21 25 21 23 20 23
15 0 22 23 19 15 15 20 22 20 21 21 23 17 23 17 18 18 15 17 20 17
16 22 0 17 23 23 20 23 25 23 17 22 21 23 20 24 20 20 22 17 21 22
16 23 17 0 25 23 18 22 19 22 23 23 20 25 22 22 20 24 23 22 22 25
20 19 23 25 0 18 20 17 24 19 22 19 19 23 23 23 23 25 24 24 21 19
17 15 23 23 18 0 18 22 23 20 25 24 16 20 15 18 16 15 24 25 15 19
25 15 20 18 20 18 0 24 18 25 16 23 17 19 18 18 15 21 15 15 20 20
19 20 23 22 17 22 24 0 17 18 25 15 16 16 16 15 15 15 20 19 17 17
19 22 25 19 24 23 18 17 0 17 23 15 21 24 15 18 17 15 15 20 24 25
24 20 23 22 19 20 25 18 17 0 16 19 20 22 15 19 22 23 24 15 19 21
18 21 17 23 22 25 16 25 23 16 0 24 17 22 18 16 25 25 20 16 15 22
24 21 22 23 19 24 23 15 15 19 24 0 17 23 24 21 22 23 20 17 20 19
15 23 21 20 19 16 17 16 21 20 17 17 0 19 24 21 25 15 23 17 25 15
24 17 23 25 23 20 19 16 24 22 22 23 19 0 19 15 17 17 17 16 22 25
25 23 20 22 23 15 18 16 15 15 18 24 24 19 0 18 23 15 18 18 22 16
17 17 24 22 23 18 18 15 18 19 16 21 21 15 18 0 19 16 24 18 24 24
21 18 20 20 23 16 15 15 17 22 25 22 25 17 23 19 0 20 19 25 21 19
25 18 20 24 25 15 21 15 15 23 25 23 15 17 15 16 20 0 23 15 17 15
21 15 22 23 24 24 15 20 15 24 20 20 23 17 18 24 19 23 0 21 21 17
23 17 17 22 24 25 15 19 20 15 16 17 17 16 18 18 25 15 21 0 16 23
20 20 21 22 21 15 20 17 24 19 15 20 25 22 22 24 21 17 21 16 0 16
23 17 22 25 19 19 20 17 25 21 22 19 15 25 16 24 19 15 17 23 16 0
