15
15
4 2 3 3 3 1 4 2 4 2 1 1 1 1 2
0 18 19 16 21 22 17 16 16 15 21 23 19 15 18 23 23
18 0 20 19 17 16 19 18 15 25 19 19 18 17 19 19 25
19 20 0 20 16 24 20 25 21 23 18 17 18 22 19 16 23
16 19 20 0 19 15 19 24 19 23 18 21 21 24 19 21 22
21 17 16 19 0 17 18 19 19 15 16 15 22 25 19 23 23
22 16 24 15 17 0 25 22 20 17 25 18 16 21 18 25 25
17 19 20 19 18 25 0 22 19 17 20 21 24 20 25 23 18
16 18 25 24 19 22 22 0 20 16 15 18 19 24 24 18 16
16 15 21 19 19 20 19 20 0 20 17 19 22 15 15 20 16
15 25 23 23 15 17 17 16 20 0 19 25 20 15 20 19 20
21 19 18 18 16 25 20 15 17 19 0 17 25 21 24 25 16
23 19 17 21 15 18 21 18 19 25 17 0 19 24 18 22 19
19 18 18 21 22 16 24 19 22 20 25 19 0 17 19 21 24
15 17 22 24 25 21 20 24 15 15 21 24 17 0 17 20 24
18 19 19 19 19 18 25 24 15 20 24 18 19 17 0 15 20
23 19 16 21 23 25 23 18 20 19 25 22 21 20 15 0 15
23 25 23 22 23 25 18 16 16 20 16 19 24 24 20 15 0
